,hero_heads_up,hero_stack_ratio
0,False,
1,True,4.415730337078647
2,True,1.0775862068965492
3,True,2.0266666666666677
4,True,0.4454828660436132
5,True,2.347222222222216
6,True,0.9754098360655732
7,True,0.9754098360655735
8,True,4.728395061728375
9,True,0.855999999999998
10,True,1.2523364485981288
11,True,1.8050314465408823
12,True,0.4365325077399388
13,True,0.473015873015873
14,True,0.36809815950920266
15,False,
16,True,1.677777777777778
17,False,
18,True,1.2314814814814814
19,True,3.0180180180180085
20,True,0.23404255319148956
21,True,1.1682242990654164
22,False,
23,True,1.9753086419753085
24,True,0.4454828660436136
25,True,1.1327433628318557
26,True,4.415730337078626
27,True,0.5263157894736799
28,True,0.5170068027210871
29,True,10.842105263157226
30,False,
31,True,2.3472222222222214
32,True,1.132743362831857
33,True,0.9192825112107605
34,True,10.476190476190407
35,True,5.270270270270256
36,False,
37,False,
38,True,0.3687315634218286
39,False,
40,True,0.615942028985508
41,False,
42,True,2.3706293706293704
43,True,4.415730337078645
44,False,
45,True,0.9094650205761293
46,True,9.790697674418556
47,True,1.1090909090909058
48,True,6.4153846153846095
49,True,1.0775862068965514
50,True,2.8253968253968247
51,True,1.1933333333333334
52,True,3.8199999999999976
53,True,1.2639593908629414
54,True,1.8690476190476202
55,True,0.5313531353135305
56,False,
57,True,2.2137931034482765
58,True,0.27851458885941627
59,True,0.3488372093023256
60,True,3.5046728971962557
61,False,
62,True,10.599999999999975
63,False,
64,True,2.347222222222222
65,False,
66,False,
67,True,0.9754098360655721
68,True,1.7078651685393238
69,True,1.0775862068965487
70,True,0.7214285714285704
71,True,25.77777777777758
72,True,4.415730337078651
73,False,
74,True,0.6218181818181817
75,True,0.5548780487804642
76,False,
77,True,2.213333333333333
78,False,
79,True,0.26860841423948245
80,True,0.9279999999999992
81,True,1.4812834224598976
82,True,0.9279999999999998
83,True,1.5632183908045967
84,True,1.1545893719806728
85,True,0.622377622377619
86,False,
87,True,6.733333333333355
88,True,0.9578059071729949
89,True,15.571428571428525
90,False,
91,True,1.0350877192982477
92,True,2.6557377049180353
93,True,2.3472222222222214
94,True,0.9203187250996012
95,True,1.1836734693877555
96,True,0.3762057877813479
97,True,4.878048780487794
98,False,
99,True,7.033333333333315
100,False,
101,True,2.855999999999999
102,True,2.8253968253968247
103,True,1.0841121495327075
104,True,1.7134502923976576
105,True,1.2307692307692295
106,False,
107,True,1.0686695278969955
108,False,
109,True,4.574999999999986
110,True,0.9822222222222213
111,True,0.598566308243725
112,True,4.70114942528734
113,True,1.2523364485981305
114,True,0.9279999999999995
115,True,1.4895833333332973
116,True,4.415730337078646
117,True,0.3351955307262579
118,True,1.183999999999998
119,True,2.3706293706293695
120,True,0.8396946564885489
121,True,12.388888888888856
122,True,2.8559999999999954
123,False,
124,True,0.8139534883720911
125,True,1.1327433628318575
126,True,1.4591836734693853
127,True,1.2418604651162757
128,True,0.38922155688622606
129,True,31.923076923075868
130,True,
131,True,0.18670076726342694
132,True,1.7134502923976578
133,True,1.6976744186046513
134,True,1.5368421052631542
135,False,
136,True,0.8130081300813045
137,True,1.8961038961038934
138,False,
139,True,0.23342939481268107
140,True,1.7619047619047647
141,True,1.6976744186046513
142,True,0.9754098360655731
143,True,0.12621359223300965
144,True,0.227513227513227
145,True,4.878048780487801
146,False,
147,True,0.5000000000000014
148,True,0.7985074626865643
149,True,2.955555555555497
150,True,2.8253968253968247
151,False,
152,True,1.1581395348837202
153,False,
154,True,2.51824817518248
155,True,1.0686695278969933
156,True,3.070175438596484
157,True,0.24242424242424668
158,True,0.6124999999999955
159,True,1.132743362831858
160,True,8.46938775510202
161,False,
162,True,1.2639593908629447
163,True,2.317829457364294
164,True,2.8253968253968242
165,True,1.0775862068965507
166,True,0.9754098360655733
167,True,10.435897435896852
168,False,
169,True,3.5046728971962557
170,True,4.807228915662649
171,False,
172,True,1.5913978494623677
173,True,0.5782312925170072
174,True,4.255813953488235
175,True,0.47301587301587167
176,True,2.0124999999999966
177,True,0.5185185185185122
178,True,1.0775862068965507
179,True,2.5679999999999517
180,False,
181,True,3.639999999999985
182,True,1.2523364485981303
183,True,1.0686695278969955
184,True,1.2418604651162788
185,True,2.8253968253968247
186,True,2.2133333333333334
187,True,11.540540540540531
188,True,0.3426183844011141
189,True,2.1860465116279046
190,False,
191,True,2.4843749999999956
192,True,1.8686868686868667
193,True,0.24581005586592178
194,True,0.26451612903225813
195,True,1.9937888198757727
196,True,5.8235294117646985
197,True,0.3555555555555578
198,True,2.544117647058821
199,True,4.415730337078648
200,True,3.0847457627118624
201,True,47.1999999999998
202,True,4.213483146067384
203,False,
204,False,
205,True,1.8762886597938035
206,True,12.771428571428524
207,True,1.4591836734693848
208,True,1.8641975308641956
209,True,1.3173076923076892
210,True,3.2280701754385803
211,True,1.1327433628318573
212,True,9.619047619047468
213,True,0.27380952380952445
214,False,
215,True,1.0686695278969955
216,False,
217,False,
218,True,12.771428571428538
219,False,
220,False,
221,True,1.6927374301675957
222,False,
223,True,1.1090909090909082
224,True,2.129870129870129
225,True,1.707865168539321
226,False,
227,True,
228,True,0.4907407407407397
229,True,3.504672897196257
230,False,
231,True,1.9753086419753096
232,True,2.3472222222222214
233,True,1.802325581395347
234,True,1.4591836734693866
235,False,
236,True,2.3178294573643394
237,True,1.0775862068965516
238,True,0.827868852459015
239,False,
240,True,1.2523364485981303
241,True,2.825396825396824
242,True,1.9753086419753076
243,True,3.6947368421052227
244,True,
245,True,4.80722891566265
246,True,1.0775862068965514
247,True,1.0686695278969944
248,True,1.4591836734693864
249,True,2.8333333333333086
250,True,1.3084577114427856
251,True,2.651515151515151
252,True,3.5046728971962575
253,True,0.7985074626865655
254,True,4.247058823529375
255,True,0.7416666666666804
256,True,0.32782369146005264
257,True,7.140350877192923
258,True,1.132743362831858
259,True,8.094339622641495
260,True,1.0775862068965512
261,True,0.7313432835820872
262,False,
263,True,0.9754098360655735
264,True,2.199999999999992
265,True,17.559999999999995
266,True,2.825396825396825
267,True,2.3943661971830807
268,True,
269,True,1.6740331491712717
270,True,5.628571428571413
271,True,0.05128205128205115
272,True,0.41463414634146445
273,True,0.22191780821917803
274,True,1.9937888198757763
275,True,2.3706293706293695
276,True,1.0775862068965516
277,True,0.5622895622895617
278,True,1.5235602094240785
279,False,
280,False,
281,True,1.3553299492385789
282,False,
283,True,1.802325581395343
284,True,0.18066157760814297
285,True,0.8981481481481556
286,True,0.2785145888594164
287,True,0.0833333333333293
288,True,3.504672897196255
289,True,2.347222222222222
290,True,1.9937888198757763
291,True,0.7985074626865659
292,True,1.4467005076142099
293,True,1.0775862068965514
294,True,0.23404255319149
295,True,5.788732394366191
296,False,
297,False,
298,False,
299,True,0.5563636363636337
300,True,1.9753086419753076
301,True,6.999999999999946
302,True,1.090090090090087
303,True,1.1327433628318533
304,True,2.6515151515151514
305,True,0.2528735632183925
306,True,0.9754098360655733
307,False,
308,True,0.1861702127659579
309,False,
310,True,4.873417721519019
311,True,
312,True,4.415730337078651
313,False,
314,True,0.7249070631970244
315,True,0.39759036144578147
316,True,2.825396825396822
317,True,5.788732394366195
318,False,
319,False,
320,True,3.8199999999999967
321,True,3.5046728971962575
322,True,1.1327433628318582
323,True,1.231481481481482
324,True,1.404494382022468
325,True,0.27472527472527464
326,True,3.8199999999999963
327,True,5.788732394366187
328,True,1.881987577639752
329,True,1.0775862068965514
330,True,4.4157303370786485
331,True,1.3173076923076863
332,True,2.0124999999999957
333,False,
334,True,1.0686695278969944
335,True,3.0504201680672223
336,True,0.7185185185185201
337,False,
338,True,3.084745762711858
339,True,9.478260869565192
340,False,
341,False,
342,True,8.094339622641499
343,True,1.5368421052631511
344,False,
345,True,2.347222222222222
346,True,3.504672897196259
347,False,
348,True,0.8544061302681986
349,True,3.4629629629629584
350,True,1.0698689956331846
351,True,9.790697674418592
352,True,0.39339339339339263
353,False,
354,True,1.1327433628318582
355,True,5.17948717948717
356,True,1.5777777777777768
357,True,1.3173076923076914
358,True,2.727272727272742
359,True,0.6984126984126937
360,True,0.43408360128617396
361,True,2.267605633802816
362,True,
363,True,0.42038216560509245
364,True,1.864197530864198
365,True,0.23659305993690857
366,True,0.9999999999999979
367,True,1.5368421052631536
368,True,0.9754098360655737
369,True,
370,True,4.415730337078651
371,True,1.0686695278969947
372,True,2.4117647058823386
373,True,1.4591836734693866
374,True,1.0775862068965514
375,True,2.0124999999999966
376,True,1.3173076923076918
377,True,2.213333333333334
378,True,2.3943661971830874
379,True,1.1923076923076954
380,True,1.1327433628318582
381,True,1.0775862068965492
382,True,0.47301587301587267
383,True,2.8253968253968185
384,True,4.878048780487794
385,True,0.3647058823529413
386,False,
387,False,
388,True,6.531249999999969
389,False,
390,True,0.41587301587301617
391,True,0.9279999999999996
392,True,0.07656612529002284
393,True,
394,True,0.8486055776892395
395,True,0.9279999999999994
396,True,1.6927374301675906
397,True,5.788732394366195
398,True,3.5046728971962504
399,False,
400,True,3.819999999999993
401,True,0.10805860805860705
402,True,4.807228915662641
403,True,9.478260869565196
404,True,0.030023094688221574
405,True,2.3706293706293717
406,True,9.478260869565188
407,True,6.415384615384609
408,True,1.0686695278969955
409,True,0.9094650205761292
410,True,3.084745762711858
411,True,6.41538461538461
412,True,0.24581005586592158
413,True,1.1465517241379273
414,True,2.626016260162599
415,True,4.878048780487792
416,True,0.12637362637363012
417,True,0.9279999999999997
418,True,3.2075471698113174
419,True,0.4365325077399381
420,True,2.5151515151515054
421,True,1.6976744186046497
422,True,3.4629629629629632
423,True,0.5985663082437301
424,True,0.4454828660436131
425,True,1.757763975155278
426,True,27.352941176470416
427,True,1.0775862068965503
428,False,
429,True,1.0775862068965516
430,True,2.1298701298701284
431,True,1.053097345132738
432,True,4.415730337078644
433,False,
434,True,1.97530864197531
435,True,3.819999999999995
436,True,3.5046728971962566
437,True,3.504672897196257
438,True,3.5046728971962606
439,True,1.6130653266331605
440,True,8.094339622641497
441,True,1.9753086419753072
