hand1_str,hand2_str,equity_hand1,equity_hand2
AA,A3o,0.93165,0.06835000000000002
AA,K3o,0.87505,0.12495
AA,Q3o,0.8818,0.11819999999999997
AA,J3o,0.88105,0.11895
AA,T3o,0.8711,0.12890000000000001
AA,93o,0.87255,0.12744999999999995
AA,83o,0.885,0.11499999999999999
AA,73o,0.8611,0.13890000000000002
AA,63o,0.84995,0.15005000000000002
AA,53o,0.84525,0.15475000000000005
AA,43o,0.8487,0.1513
AA,33,0.8188,0.18120000000000003
AA,32s,0.8245,0.1755
AA,A2o,0.9378,0.06220000000000003
AA,K2o,0.8845,0.11550000000000005
AA,Q2o,0.88465,0.11534999999999995
AA,J2o,0.8853,0.11470000000000002
AA,T2o,0.88445,0.11555000000000004
AA,92o,0.87995,0.12004999999999999
AA,82o,0.86745,0.13254999999999995
AA,72o,0.89225,0.10775000000000001
AA,62o,0.87825,0.12175000000000002
AA,52o,0.8667,0.13329999999999997
AA,42o,0.86805,0.13195
AA,32o,0.8781,0.12190000000000001
AA,22,0.82745,0.17254999999999998
AKs,AQs,0.70315,0.29684999999999995
AKs,AJs,0.74155,0.25844999999999996
AKs,ATs,0.7495,0.25049999999999994
AKs,A9s,0.7177,0.2823
AKs,A8s,0.71215,0.28785000000000005
AKs,A7s,0.7127,0.2873
AKs,A6s,0.74905,0.25095
AKs,A5s,0.7345,0.26549999999999996
AKs,A4s,0.7005,0.2995
AKs,A3s,0.70825,0.29174999999999995
AKs,A2s,0.75645,0.24355000000000004
AKs,AKo,0.5232,0.4768
AKs,KK,0.34935,0.65065
AKs,KQs,0.7251,0.27490000000000003
AKs,KJs,0.74715,0.25285
AKs,KTs,0.74895,0.25105
AKs,K9s,0.7234,0.27659999999999996
AKs,K8s,0.72545,0.27454999999999996
AKs,K7s,0.72055,0.27945
AKs,K6s,0.7255,0.27449999999999997
AKs,K5s,0.7345,0.26549999999999996
AKs,K4s,0.7275,0.27249999999999996
AKs,K3s,0.7739,0.22609999999999997
AKs,K2s,0.7426,0.25739999999999996
AKs,AQo,0.71235,0.28764999999999996
AKs,KQo,0.74195,0.25805
AKs,QQ,0.46045,0.53955
AKs,QJs,0.6636,0.33640000000000003
AKs,QTs,0.632,0.368
AKs,Q9s,0.6393,0.3607
AKs,Q8s,0.68205,0.31794999999999995
AKs,Q7s,0.6523,0.3477
