,Unnamed: 0,hand,equity,Rank,raise,call
103,103,96s,0.4626208333333333,104,0.0,1.0
104,104,Q2o,0.4625967261904762,105,0.0,1.0
105,105,T5s,0.4610324404761905,106,0.0,1.0
106,106,J5o,0.4608172619047619,107,0.0,1.0
107,107,T4s,0.4542988095238096,108,0.0,1.0
108,108,97o,0.454016369047619,109,0.0,1.0
109,109,86s,0.4522928571428571,110,0.0,1.0
110,110,J4o,0.4511035714285715,111,0.0,1.0
111,111,T6o,0.4509508928571428,112,0.0,1.0
112,112,T3s,0.4461035714285715,113,0.0,1.0
113,113,95s,0.4453538690476191,114,0.0,1.0
114,114,76s,0.4431485119047619,115,1.0,0.0
115,115,J3o,0.4430901785714286,116,0.0,1.0
116,116,87o,0.4417372023809524,117,0.0,1.0
117,117,T2s,0.4388386904761905,118,0.0,1.0
118,118,96o,0.436114880952381,119,0.0,1.0
119,119,85s,0.4345633928571429,120,0.0,1.0
120,120,T5o,0.4345157738095238,121,0.0,1.0
121,121,J2o,0.4333005952380952,122,0.0,1.0
122,122,94s,0.4272857142857143,123,0.0,1.0
123,123,75s,0.4268904761904762,124,0.0,1.0
124,124,86o,0.4260181547619047,125,0.0,1.0
125,125,T4o,0.4258434523809523,126,0.0,1.0
126,126,65s,0.4211952380952381,127,1.0,0.0
127,127,93s,0.4206285714285715,128,0.0,1.0
128,128,95o,0.4170812499999999,129,0.0,1.0
129,129,84s,0.4170002976190476,130,0.0,1.0
130,130,T3o,0.4166547619047618,131,0.0,1.0
131,131,92s,0.4157824404761904,132,0.0,1.0
132,132,76o,0.4145026785714286,133,0.0,1.0
133,133,74s,0.4084458333333333,134,0.0,1.0
134,134,T2o,0.4075732142857143,135,0.0,1.0
135,135,85o,0.4066372023809523,136,0.0,1.0
136,136,64s,0.4032324404761904,137,0.0,1.0
137,137,54s,0.4027532738095238,138,1.0,0.0
138,138,94o,0.3984208333333333,139,0.0,1.0
139,139,83s,0.3982196428571429,140,0.0,1.0
140,140,75o,0.3978458333333333,141,0.0,1.0
141,141,93o,0.3932964285714286,142,0.0,1.0
142,142,82s,0.3927702380952381,143,0.0,1.0
143,143,65o,0.392510119047619,144,0.0,1.0
144,144,73s,0.3921982142857143,145,0.0,1.0
145,145,84o,0.386878869047619,146,0.0,1.0
146,146,53s,0.386232738095238,147,0.0,1.0
147,147,92o,0.3851830357142857,148,0.0,1.0
148,148,63s,0.3844491071428572,149,0.0,1.0
149,149,74o,0.3777523809523809,150,0.0,1.0
150,150,43s,0.375060119047619,151,0.0,1.0
151,151,54o,0.3730065476190476,152,0.0,1.0
152,152,64o,0.3727395833333333,153,0.0,1.0
153,153,72s,0.3717255952380952,154,0.0,1.0
154,154,52s,0.3679675595238095,155,0.0,1.0
155,155,83o,0.3677267857142857,156,0.0,1.0
156,156,62s,0.3647372023809523,157,0.0,1.0
157,157,82o,0.3612744047619048,158,0.0,1.0
158,158,73o,0.360972619047619,159,0.0,1.0
159,159,42s,0.3561622023809524,160,0.0,1.0
160,160,53o,0.3556217261904762,161,0.0,1.0
161,161,63o,0.3544294642857143,162,0.0,1.0
162,162,32s,0.3489175595238095,163,0.0,1.0
163,163,43o,0.3435419642857143,164,0.0,1.0
164,164,72o,0.3401130952380952,165,0.0,1.0
165,165,52o,0.3352913690476191,166,0.0,1.0
166,166,62o,0.3340232142857142,167,0.0,1.0
167,167,42o,0.3246520833333334,168,0.0,1.0
168,168,32o,0.3160470238095238,169,0.0,1.0
